#                                                                     --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                 accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------       -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
XP_037509155.1       -          msaprobs_alignment_4742434 -                  0 1138.7   9.3  2.2e-185  627.2   0.3   2.5   3   0   0   3   3   2   2 LOW QUALITY PROTEIN: chitin synthase chs-1-like [Rhipicephalus sanguineus]
XP_026880781.2       -          msaprobs_alignment_4742434 -                  0 1104.4  22.8  1.7e-166  564.8   2.1   2.9   2   2   1   4   4   2   2 LOW QUALITY PROTEIN: chitin synthase 1 [Electrophorus electricus]
XP_017142974.1       -          msaprobs_alignment_4742434 -           1.8e-258  868.7   0.4  1.2e-257  866.0   0.1   1.8   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila miranda]
XP_039495857.1       -          msaprobs_alignment_4742434 -             2e-258  868.6   0.8  6.5e-258  866.9   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila santomea]
XP_033161999.1       -          msaprobs_alignment_4742434 -             2e-258  868.6   0.4  1.1e-257  866.1   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Drosophila mauritiana]
XP_032576207.1       -          msaprobs_alignment_4742434 -             2e-258  868.6   0.4  1.1e-257  866.1   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Drosophila sechellia]
NP_730928.2          -          msaprobs_alignment_4742434 -             2e-258  868.6   0.4  1.1e-257  866.1   0.0   1.5   1   1   0   1   1   1   1 krotzkopf verkehrt, isoform D [Drosophila melanogaster]
XP_016033300.1       -          msaprobs_alignment_4742434 -             2e-258  868.5   0.4  1.1e-257  866.1   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Drosophila simulans]
XP_033162002.1       -          msaprobs_alignment_4742434 -           2.1e-258  868.5   0.4    1e-257  866.2   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X4 [Drosophila mauritiana]
XP_032576209.1       -          msaprobs_alignment_4742434 -           2.1e-258  868.5   0.4    1e-257  866.2   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X4 [Drosophila sechellia]
XP_003736740.2       -          msaprobs_alignment_4742434 -           2.1e-258  868.5   0.6  1.8e-257  865.4   0.1   1.8   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila pseudoobscura]
XP_015037826.2       -          msaprobs_alignment_4742434 -           2.1e-258  868.5   0.6  1.8e-257  865.4   0.1   1.8   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila pseudoobscura]
XP_015037827.2       -          msaprobs_alignment_4742434 -           2.1e-258  868.5   0.6  1.8e-257  865.4   0.1   1.8   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila pseudoobscura]
XP_043656734.1       -          msaprobs_alignment_4742434 -           2.2e-258  868.4   0.6  7.8e-258  866.6   0.0   1.4   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Drosophila teissieri]
XP_016931842.2       -          msaprobs_alignment_4742434 -           2.5e-258  868.2   0.8    1e-257  866.2   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Drosophila suzukii]
XP_037728935.1       -          msaprobs_alignment_4742434 -           2.7e-258  868.1   0.9    1e-257  866.2   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Drosophila subpulchrella]
XP_039151484.1       -          msaprobs_alignment_4742434 -           2.9e-258  868.0   0.9    1e-257  866.2   0.0   1.5   1   1   0   2   2   1   1 chitin synthase chs-2 isoform X4 [Drosophila simulans]
XP_034664926.1       -          msaprobs_alignment_4742434 -           3.2e-258  867.9   0.6  1.9e-257  865.4   0.1   1.8   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila subobscura]
XP_017847430.1       -          msaprobs_alignment_4742434 -           4.8e-258  867.3   0.3  3.9e-257  864.3   0.0   1.8   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila busckii]
XP_017847431.1       -          msaprobs_alignment_4742434 -           4.8e-258  867.3   0.3  3.9e-257  864.3   0.0   1.8   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila busckii]
XP_034116463.1       -          msaprobs_alignment_4742434 -           8.2e-258  866.5   0.1  9.3e-257  863.1   0.0   1.9   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila albomicans]
XP_034116464.1       -          msaprobs_alignment_4742434 -           8.2e-258  866.5   0.1  9.3e-257  863.1   0.0   1.9   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila albomicans]
XP_034116465.1       -          msaprobs_alignment_4742434 -           8.2e-258  866.5   0.1  9.3e-257  863.1   0.0   1.9   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila albomicans]
XP_017847432.1       -          msaprobs_alignment_4742434 -           6.2e-257  863.6   0.1  2.7e-256  861.5   0.0   1.4   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Drosophila busckii]
XP_034116466.1       -          msaprobs_alignment_4742434 -           9.2e-257  863.1   0.0    5e-256  860.7   0.0   1.4   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Drosophila albomicans]
XP_037728936.1       -          msaprobs_alignment_4742434 -           1.7e-256  862.2   0.2  6.5e-256  860.3   0.0   1.4   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X3 [Drosophila subpulchrella]
XP_044570061.1       -          msaprobs_alignment_4742434 -           1.7e-256  862.2   4.6  2.7e-256  861.5   4.6   1.3   1   0   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Drosophila ananassae]
XP_033244515.1       -          msaprobs_alignment_4742434 -           6.1e-256  860.4   5.3  9.2e-256  859.8   5.3   1.3   1   0   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Drosophila miranda]
XP_001359390.4       -          msaprobs_alignment_4742434 -           7.7e-256  860.0   5.6  1.2e-255  859.3   5.6   1.3   1   0   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Drosophila pseudoobscura]
XP_034664927.1       -          msaprobs_alignment_4742434 -           1.1e-255  859.5   5.5  1.7e-255  858.9   5.5   1.3   1   0   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Drosophila subobscura]
XP_033234120.1       -          msaprobs_alignment_4742434 -           3.3e-254  854.6   4.4  4.5e-254  854.2   4.4   1.2   1   0   0   1   1   1   1 chitin synthase chs-2 isoform X3 [Drosophila pseudoobscura]
XP_037945234.1       -          msaprobs_alignment_4742434 -           3.1e-253  851.4   0.1  3.1e-253  851.4   0.1   2.1   1   1   0   2   2   1   1 chitin synthase chs-2 isoform X1 [Teleopsis dalmanni]
XP_037945235.1       -          msaprobs_alignment_4742434 -           3.1e-253  851.4   0.1  3.1e-253  851.4   0.1   2.1   1   1   0   2   2   1   1 chitin synthase chs-2 isoform X1 [Teleopsis dalmanni]
XP_037945236.1       -          msaprobs_alignment_4742434 -           1.6e-252  849.1   0.1  1.6e-252  849.1   0.1   1.7   1   1   0   2   2   1   1 chitin synthase chs-2 isoform X2 [Teleopsis dalmanni]
XP_040158698.1       -          msaprobs_alignment_4742434 -             7e-252  846.9   0.3  3.1e-251  844.8   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Anopheles arabiensis]
XP_039958108.1       -          msaprobs_alignment_4742434 -           7.4e-252  846.9   0.6  3.2e-251  844.7   0.0   1.6   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Bactrocera tryoni]
XP_035796291.1       -          msaprobs_alignment_4742434 -           8.1e-252  846.7   0.1  3.9e-251  844.5   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2-like isoform X3 [Anopheles albimanus]
XP_035796294.1       -          msaprobs_alignment_4742434 -           8.1e-252  846.7   0.1  3.9e-251  844.5   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2-like isoform X3 [Anopheles albimanus]
XP_035796289.1       -          msaprobs_alignment_4742434 -           8.6e-252  846.6   0.1    4e-251  844.5   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2-like isoform X1 [Anopheles albimanus]
XP_040158708.1       -          msaprobs_alignment_4742434 -           8.9e-252  846.6   0.4  1.8e-251  845.6   0.4   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Anopheles arabiensis]
XP_035796292.1       -          msaprobs_alignment_4742434 -           9.8e-252  846.5   0.2  4.2e-251  844.4   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2-like isoform X4 [Anopheles albimanus]
XP_035796290.1       -          msaprobs_alignment_4742434 -             1e-251  846.4   0.2  4.3e-251  844.4   0.0   1.5   1   1   0   2   2   1   1 chitin synthase chs-2-like isoform X2 [Anopheles albimanus]
XP_040229355.1       -          msaprobs_alignment_4742434 -             1e-251  846.4   0.2  4.6e-251  844.2   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X3 [Anopheles coluzzii]
XP_040229356.1       -          msaprobs_alignment_4742434 -             1e-251  846.4   0.2  4.6e-251  844.2   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X3 [Anopheles coluzzii]
XP_041761197.1       -          msaprobs_alignment_4742434 -             1e-251  846.4   0.2  4.6e-251  844.2   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Anopheles merus]
XP_321336.5          -          msaprobs_alignment_4742434 -             1e-251  846.4   0.2  4.6e-251  844.2   0.0   1.5   1   1   0   1   1   1   1 AGAP001748-PA [Anopheles gambiae str. PEST]
XP_040229353.1       -          msaprobs_alignment_4742434 -           1.1e-251  846.3   0.2  4.5e-251  844.3   0.0   1.5   1   1   0   2   2   1   1 chitin synthase chs-2 isoform X1 [Anopheles coluzzii]
XP_040229357.1       -          msaprobs_alignment_4742434 -           1.2e-251  846.2   0.3  4.6e-251  844.2   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X4 [Anopheles coluzzii]
XP_041761196.1       -          msaprobs_alignment_4742434 -           1.2e-251  846.2   0.3  4.6e-251  844.2   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Anopheles merus]
XP_041761198.1       -          msaprobs_alignment_4742434 -           1.2e-251  846.2   0.3  4.6e-251  844.2   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Anopheles merus]
XP_041761199.1       -          msaprobs_alignment_4742434 -           1.2e-251  846.2   0.3  4.6e-251  844.2   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Anopheles merus]
XP_041761200.1       -          msaprobs_alignment_4742434 -           1.2e-251  846.2   0.3  4.6e-251  844.2   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Anopheles merus]
XP_041761201.1       -          msaprobs_alignment_4742434 -           1.2e-251  846.2   0.3  4.6e-251  844.2   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Anopheles merus]
XP_041761202.1       -          msaprobs_alignment_4742434 -           1.2e-251  846.2   0.3  4.6e-251  844.2   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Anopheles merus]
XP_041761203.1       -          msaprobs_alignment_4742434 -           1.2e-251  846.2   0.3  4.6e-251  844.2   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Anopheles merus]
XP_035896990.1       -          msaprobs_alignment_4742434 -           1.3e-251  846.1   0.2  5.3e-251  844.0   0.0   1.5   1   1   0   2   2   1   1 chitin synthase chs-2 isoform X3 [Anopheles stephensi]
XP_035896991.1       -          msaprobs_alignment_4742434 -           1.3e-251  846.1   0.2  5.3e-251  844.0   0.0   1.5   1   1   0   2   2   1   1 chitin synthase chs-2 isoform X3 [Anopheles stephensi]
XP_040229354.1       -          msaprobs_alignment_4742434 -           1.4e-251  845.9   0.5  5.2e-251  844.1   0.0   1.5   1   1   0   2   2   1   1 chitin synthase chs-2 isoform X2 [Anopheles coluzzii]
XP_035896989.1       -          msaprobs_alignment_4742434 -           1.5e-251  845.9   0.4  5.6e-251  843.9   0.0   1.5   1   1   0   2   2   1   1 chitin synthase chs-2 isoform X2 [Anopheles stephensi]
XP_035896992.1       -          msaprobs_alignment_4742434 -           1.7e-251  845.7   0.5  5.8e-251  843.9   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X4 [Anopheles stephensi]
XP_035896988.1       -          msaprobs_alignment_4742434 -           1.7e-251  845.6   0.4  6.1e-251  843.8   0.0   1.5   1   1   0   2   2   1   1 chitin synthase chs-2 isoform X1 [Anopheles stephensi]
XP_021704897.1       -          msaprobs_alignment_4742434 -           2.5e-251  845.1   0.0  1.1e-250  843.0   0.0   1.5   1   1   0   1   1   1   1 uncharacterized protein LOC5575776 isoform X4 [Aedes aegypti]
XP_021704892.1       -          msaprobs_alignment_4742434 -           2.7e-251  845.0   0.0  1.7e-250  842.3   0.0   1.4   1   1   0   1   1   1   1 uncharacterized protein LOC5575776 isoform X2 [Aedes aegypti]
XP_037039689.1       -          msaprobs_alignment_4742434 -           3.4e-251  844.7   0.1  3.2e-250  841.4   0.0   1.7   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X3 [Bradysia coprophila]
XP_037039686.1       -          msaprobs_alignment_4742434 -           3.6e-251  844.6   0.1  3.1e-250  841.5   0.0   1.7   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Bradysia coprophila]
XP_037039687.1       -          msaprobs_alignment_4742434 -           3.6e-251  844.6   0.1  3.1e-250  841.5   0.0   1.7   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Bradysia coprophila]
XP_037039691.1       -          msaprobs_alignment_4742434 -           3.6e-251  844.6   0.2  2.5e-250  841.8   0.1   1.7   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X5 [Bradysia coprophila]
XP_021704893.1       -          msaprobs_alignment_4742434 -           4.6e-251  844.2   0.0    2e-250  842.1   0.0   1.5   1   1   0   1   1   1   1 uncharacterized protein LOC5575776 isoform X3 [Aedes aegypti]
XP_021704894.1       -          msaprobs_alignment_4742434 -           4.6e-251  844.2   0.0    2e-250  842.1   0.0   1.5   1   1   0   1   1   1   1 uncharacterized protein LOC5575776 isoform X3 [Aedes aegypti]
XP_021704896.1       -          msaprobs_alignment_4742434 -           4.6e-251  844.2   0.0    2e-250  842.1   0.0   1.5   1   1   0   1   1   1   1 uncharacterized protein LOC5575776 isoform X3 [Aedes aegypti]
XP_021704898.1       -          msaprobs_alignment_4742434 -           4.6e-251  844.2   0.0    2e-250  842.1   0.0   1.5   1   1   0   1   1   1   1 uncharacterized protein LOC5575776 isoform X3 [Aedes aegypti]
XP_021704891.1       -          msaprobs_alignment_4742434 -           4.9e-251  844.1   0.0  2.2e-250  842.0   0.0   1.5   1   1   0   1   1   1   1 uncharacterized protein LOC5575776 isoform X1 [Aedes aegypti]
XP_039958116.1       -          msaprobs_alignment_4742434 -             1e-250  843.1   0.4    4e-250  841.1   0.0   1.4   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Bactrocera tryoni]
XP_038117593.1       -          msaprobs_alignment_4742434 -           2.8e-250  841.7   0.0  1.4e-249  839.4   0.0   1.4   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Culex quinquefasciatus]
XP_038117594.1       -          msaprobs_alignment_4742434 -           2.8e-250  841.7   0.0  1.4e-249  839.4   0.0   1.4   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Culex quinquefasciatus]
XP_038117595.1       -          msaprobs_alignment_4742434 -           4.9e-250  840.8   0.0  2.1e-249  838.8   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Culex quinquefasciatus]
XP_037922524.1       -          msaprobs_alignment_4742434 -           1.3e-249  839.4   3.0  1.9e-249  838.9   0.2   1.7   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Hermetia illucens]
XP_037039688.1       -          msaprobs_alignment_4742434 -           2.8e-249  838.3   5.3    4e-249  837.8   5.3   1.3   1   0   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Bradysia coprophila]
XP_037039690.1       -          msaprobs_alignment_4742434 -           3.4e-249  838.1   5.6  4.9e-249  837.5   5.6   1.3   1   0   0   1   1   1   1 chitin synthase chs-2 isoform X4 [Bradysia coprophila]
XP_026826954.1       -          msaprobs_alignment_4742434 -           9.8e-249  836.5   0.0  6.6e-247  830.5   0.0   2.2   1   1   0   1   1   1   1 chitin synthase chs-2 [Ooceraea biroi]
XP_033209263.1       -          msaprobs_alignment_4742434 -           2.8e-248  835.0   0.0  1.2e-247  832.9   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Belonocnema treatae]
XP_033209264.1       -          msaprobs_alignment_4742434 -           6.1e-248  833.9   0.0  2.7e-247  831.8   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Belonocnema treatae]
XP_011157244.1       -          msaprobs_alignment_4742434 -           7.8e-248  833.6   0.0  1.5e-247  832.7   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Solenopsis invicta]
XP_039312562.1       -          msaprobs_alignment_4742434 -           7.8e-248  833.6   0.0  1.5e-247  832.7   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Solenopsis invicta]
XP_012526631.1       -          msaprobs_alignment_4742434 -             1e-247  833.2   0.0  4.9e-247  830.9   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 [Monomorium pharaonis]
XP_037922525.1       -          msaprobs_alignment_4742434 -           1.1e-247  833.1   8.7  1.7e-247  832.4   8.7   1.3   1   0   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Hermetia illucens]
XP_011157245.1       -          msaprobs_alignment_4742434 -           2.9e-247  831.7   0.0  1.3e-246  829.5   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Solenopsis invicta]
XP_016770736.1       -          msaprobs_alignment_4742434 -           4.1e-247  831.2   0.0  7.1e-247  830.4   0.0   1.3   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Apis mellifera]
XP_006563373.1       -          msaprobs_alignment_4742434 -           4.2e-247  831.2   0.0  1.5e-246  829.3   0.0   1.3   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X4 [Apis mellifera]
XP_016770739.1       -          msaprobs_alignment_4742434 -           4.2e-247  831.2   0.0  1.5e-246  829.3   0.0   1.3   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X4 [Apis mellifera]
XP_026299521.1       -          msaprobs_alignment_4742434 -           4.2e-247  831.2   0.0  1.5e-246  829.3   0.0   1.3   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X4 [Apis mellifera]
XP_043674138.1       -          msaprobs_alignment_4742434 -           6.1e-247  830.6   0.2  1.7e-246  829.2   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Vespula pensylvanica]
XP_016770738.1       -          msaprobs_alignment_4742434 -           1.2e-246  829.6   0.0    6e-246  827.3   0.0   1.4   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X3 [Apis mellifera]
XP_043284738.1       -          msaprobs_alignment_4742434 -           1.6e-246  829.2   0.0  8.6e-246  826.8   0.0   1.6   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Venturia canescens]
XP_043674148.1       -          msaprobs_alignment_4742434 -           1.8e-246  829.1   0.0  6.5e-246  827.2   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X3 [Vespula pensylvanica]
XP_043593508.1       -          msaprobs_alignment_4742434 -           3.8e-246  828.0   0.0    2e-245  825.6   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Bombus pyrosoma]
XP_012168812.1       -          msaprobs_alignment_4742434 -           5.3e-246  827.5   0.0  2.7e-245  825.2   0.0   1.5   1   1   0   1   1   1   1 uncharacterized protein LOC100647512 isoform X2 [Bombus terrestris]
XP_044580778.1       -          msaprobs_alignment_4742434 -           5.9e-246  827.4   0.1  2.6e-245  825.2   0.0   1.7   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Cotesia glomerata]
XP_031789391.1       -          msaprobs_alignment_4742434 -           7.6e-246  827.0   0.0  1.3e-240  809.7   0.0   2.4   2   1   0   2   2   2   2 chitin synthase chs-2 isoform X2 [Nasonia vitripennis]
XP_043593509.1       -          msaprobs_alignment_4742434 -           1.7e-245  825.8   0.0  6.3e-245  824.0   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X3 [Bombus pyrosoma]
XP_044580779.1       -          msaprobs_alignment_4742434 -           2.3e-245  825.4   0.0    1e-244  823.2   0.0   1.6   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Cotesia glomerata]
XP_044020427.1       -          msaprobs_alignment_4742434 -           3.5e-245  824.8   0.0    2e-244  822.3   0.0   1.7   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Aphidius gifuensis]
NP_001034491.1       -          msaprobs_alignment_4742434 -             4e-245  824.6   0.3  1.5e-244  822.7   0.0   1.5   1   1   0   1   1   1   1 chitin synthase 1 [Tribolium castaneum]
